Id,hate_speech,offensive_language,neither,clean_tweet
0,0,0,1,rt as a woman you shouldn t complain about cleaning up your house amp as a man you should always take the trash out
1,0,1,0,rt boy dats cold tyga dwn bad for cuffin dat hoe in the 1st place
2,0,1,0,rt dawg rt you ever fuck a bitch and she start to cry you be confused as shit
3,0,1,0,rt g anderson based she look like a tranny
4,0,1,0,rt the shit you hear about me might be true or it might be faker than the bitch who told it to ya 57361
5,0,1,0,madison x the shit just blows me claim you so faithful and down for somebody but still fucking with hoes 128514 128514 128514
6,0,1,0,brighterdays i can not just sit up and hate on another bitch i got too much shit going on
7,0,1,0,8220 cause i m tired of you big bitches coming for us skinny girls 8221
8,0,1,0,amp you might not get ya bitch back amp thats that
9,0,1,0,hobbies include fighting mariam bitch
10,0,1,0,keeks is a bitch she curves everyone lol i walked into a conversation like this smh
11,0,1,0,murda gang bitch its gang land
12,0,1,0,so hoes that smoke are losers yea go on ig
13,0,1,0,bad bitches is the only thing that i like
14,0,1,0,bitch get up off me
15,0,1,0,bitch nigga miss me with it
16,0,1,0,bitch plz whatever
17,0,1,0,bitch who do you love
18,0,1,0,bitches get cut off everyday b
19,0,1,0,black bottle amp a bad bitch
20,0,1,0,broke bitch cant tell me nothing
21,0,1,0,cancel that bitch like nino
22,0,1,0,cant you see these hoes wont change
23,0,1,0,fuck no that bitch dont even suck dick 128514 128514 128514 the kermit videos bout to fuck ig up
24,0,1,0,got ya bitch tip toeing on my hardwood floors 128514
25,0,1,0,her pussy lips like heaven doors 128524
26,0,1,0,hoe what its hitting for
27,0,1,0,i met that pussy on ocean dr i gave that pussy a pill 128524
28,0,1,0,i need a trippy bitch who fuck on hennessy
29,0,1,0,i spend my money how i want bitch its my business
30,0,1,0,i txt my old bitch my new bitch pussy wetter
31,0,1,0,i d say im back to the old me but my old bitches would get excited 128524
32,0,1,0,if you aint bout that murder game pussy nigga shut up
33,0,1,0,if you re toes ain t done you pussy stinks
34,0,1,0,im done with bitter bitches its a wrap for that if you a angry bird theres a app for that
35,0,1,0,is that ya bitch
36,0,1,0,it aint nothing to cut a bitch off
37,0,1,0,jus meet son now he ya mane ass bitches shots
38,0,1,0,lames crying over hoes thats tears of a clown
39,0,1,0,like snoop said in 94 we dont love these hoes
40,0,0,1,momma said no pussy cats inside my doghouse
41,0,1,0,most hated but the hoes favorite 2mw sevenone
42,0,1,0,nice girls bad make me get naughty bad yello hoe real nice body down south chick like em real thick
43,0,1,0,pimps up pimps up hoes down future voice
44,0,1,0,post a picture of that pussy get 200 likes
45,0,1,0,pussy is a powerful drug 128517 happyhumpday
46,0,1,0,quick piece of pussy call it a drive by
47,0,1,0,running round here like some brand new pussy thats bout to get fucked
48,0,1,0,these bitches even worst they ll send them guys for you
49,0,1,0,these hoes like niggas that spend money not talk bout it
50,0,1,0,we dont trust these niggas all these bitches
51,0,1,0,yall niggas b cuffing hoes cause yall aint never have bitches
52,0,1,0,you dodge a bullet 128517 8220 all da bitches i cut off pregnant or bound to be thank god 128591 8221
