Id,hate_speech,offensive_language,neither,clean_tweet,,,
0,0,1,0,rt gt these bitches,,,
1,0,1,0,rt these hoes got no chill,,,
2,0,1,0,rt be famous like when you re a hoe how do u sleep at night,,,
3,0,0,1,rt update collegian dressed as yellow teletubby will face charges for break in theft of chinese food leftovers,,,
4,0,1,0,rt icepick punk bitch blood in the mosh pit,,,
5,0,0,1,rt when i throw away paperball perfectly into the trash can,,,
6,0,1,0,rt taughtmeh somebody find this bitch amp fuck her she ain t had no good dick fucking with this fat nigga http 8230,,,
7,0,1,0,rt bad bitches get in free night at weenie hut jrs,,,
8,0,1,0,rt hoes on my jitterbug,,,
9,0,1,0,rt need a bad bitch who knows how 2 treat a pokemon master right,,,
10,0,1,0,rt jt12 that bitch ain t loyal,,,
11,0,1,0,rt i have never screamed so much like a little bitch just from a fucking video game im leaving earth i g g bye,,,
12,0,1,0,rt charles manson s fiancee will have a difficult time planning their honeymoon charlie can t surf,,,
13,1,0,0,rt fuck you say bitch i will kill you,,,
14,0,1,0,rt bitches hanging in the salty spatoon tweetin y can t i find a good guy,,,
15,0,1,0,rt yost you guys are all the best u phi love you nig nogs indyfam,,,
16,0,1,0,rt recent studies have shown that ur a lil bitch,,,
17,0,1,0,rt happy teen wolf here s me with getting ready to bitch slap a berzerker,,,
18,0,1,0,rt merry christmas everyone unless you re a fucking bitch then literally just go,,,
19,0,0,1,rt how much coke did charlie sheen do enough to kill two and a half men i guess,,,
20,0,1,0,rt fixitjesus 128588 8220 this bitch is the nugget filling at mcdonald s,,,
21,0,1,0,rt claw that ass when u see that bitch who was talkin shit on twitter in public,,,
22,1,0,0,rt one two three four how many niggers are in my store,,,
23,0,1,0,rt this is the life nigger,,,
24,0,1,0,rt did that bitch ever get out of ludacris s way,,,
25,0,1,0,rt what bitch tried to kill kendrick lamar s vibe,,,
26,0,1,0,rt palacios 8220 bitch ass nigga square up 128514 128514,,,
27,1,0,0,rt california s biggest retards don t forget about holy who just released an amazing ep,,,
28,0,1,0,rt nigger a fully grown niglet,,,
29,0,1,0,rt ur typical twitter hoe,,,
30,1,0,0,rt 1 2 3 4 how many niggers are in my store i knooooooow your stealing 128514 128514 128514,,,
31,0,0,1,rt on this usmnt day 2014 the yanks advanced out of the groupofdeath despite a 0 1 loss to ger,,,
32,0,1,0,rt lognn i don t know why i go on that pancake face bitchs twitter she gets me tight every time,,,
33,0,1,0,rt my body thought we d get an extra hr sleep but my brain decided to wake up 2 hrs earlier my brains a bitch,,,
34,0,0,1,rt charlie rangel on gop they believe slavery isn t over rangel is a flagrant tax evader and racist,,,
35,1,0,0,rt if i was obama id call a press conference amp slit joe bidens neck on live tv just 2 show these crackers i mean business 8230,,,
36,0,1,0,rt thank you one a day for making your vitamins the size of a fucking twinkie i love giving myself the heimlich maneuver every mo 8230,,,
37,0,1,0,rt none of my bitches judge me they love me 128524 don t think they would like me if i was any other way,,,
38,0,1,0,rt bitches be like 9749 128056 but still be in everybody s business,,,
39,0,1,0,rt some girls be using halloween as an excuse to act like hoes and get away with it smh,,,
40,0,1,0,rt i aint gonna text first cus pride bitch,,,
41,0,1,0,rt if we date u don t even gotta worry bout me talking to other hoes cus i ain t got any,,,
42,0,1,0,rt she said 8220 i want a man who can pick me up during sex 8221 bitch you lucky i picked you up at all gas prices high as hell,,,
43,0,1,0,rt side hoe let 8217 s make us official me,,,
44,0,1,0,rt did that bitch from frozen ever let it go,,,
45,0,1,0,rt did those bitches from frozen ever build a snowman,,,
46,0,0,1,rt draya really out catching a tan while her son looking out the window like the ikea monkey while everybody trick or treati 8230,,,
47,0,1,0,rt isabel 8220 my type a bitch 128525 128525 128553 lmao yass,,,
48,0,1,0,rt girls go talk to your other hoes game too strong,,,
49,0,1,0,rt we live in a world full of unloyal hoes amp ugly niggas asking for hugs,,,
50,0,1,0,rt when u with yo main bitch and you see yo side bitch in public,,,
51,0,1,0,rt in other news your bitch cook for me,,,
52,0,0,1,rt flappy bird is taking over my life i can hear the bird crashing every time something goes wrong,,,
53,0,1,0,rt this bitch got the itunes terms and conditions tattooed on her,,,
54,0,0,1,rt sen harry reid lists all the things republicans have blocked in the senate via he is ho 8230,,,
55,0,0,1,rt well we sure as heck know how to read i m reading the trash right now and almost everything i ve heard on the web 8230,,,
56,0,1,0,rt suck my duck thot lol looks like ur autocorrect changed dick to duck i meant what i said bitch,,,
57,0,1,0,rt cloudz 6 god by drake is trash thank you,,,
58,1,0,0,rt black girls have never been into me i guess cause i don t call them hoes sell drug s or shoot niggas o well,,,
59,0,1,0,rt y all boyz was fried fuck dat pussy nigga in the blue doe,,,
60,0,1,0,rt prediction obama will leave the democratic party in shambles 128563 oh gosh i hope so 128591 128079 128074 128170 128077 payback really is a bitch,,,
